fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2013,25061.0,0.0,61.0,35.0,4.0,1,USMC,237130.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,NC
2014,1726.26,0.0,0.0,20.0,1.0,1,USMC,238990.0,Z2JZ,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,NC
2014,1940.0,0.0,0.0,21.0,1.0,1,USMC,238990.0,Z2JZ,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,NC
2015,5000.0,0.0,0.0,239.0,6.0,1,USMC,561790.0,Z1PB,FIRM FIXED PRICE,COMPETED UNDER SAP,NC
2016,142908.0,-1.319758166092871,730.0,365.0,1.0,2,USMC,314912.0,Z1JZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,NV
2013,159285.0,-1.0,44.0,216.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,29785.0,0.0,0.0,315.0,3.0,1,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2015,9065.0,0.0,0.0,90.0,3.0,1,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2015,33670.0,-1.6158301158301158,-41.0,92.0,3.0,3,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2013,139860.0,-1.0,0.0,220.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,FL
2013,25900.0,-1.0,44.0,220.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,FL
2013,37555.0,-1.0,44.0,220.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,FL
2013,182595.0,-1.0,44.0,220.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,81585.0,-1.0158730158730158,1247.0,75.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,54390.0,0.0,0.0,48.0,3.0,1,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,33670.0,-1.0384615384615385,882.0,342.0,3.0,2,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,37555.0,0.0,366.0,336.0,3.0,1,USMC,541850.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,25743.0,0.0,0.0,88.0,2.0,1,USMC,541890.0,Z2AA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2015,20900.0,0.0,0.0,47.0,3.0,1,USMC,711510.0,Z1PB,FIRM FIXED PRICE,COMPETED UNDER SAP,MD
2016,10000.0,0.0,0.0,7.0,1.0,1,USMC,711510.0,Z2QA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2011,1325.0,0.07305660377358487,92.0,87.0,3.0,6,USMC,238220.0,Z242,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,VA
2012,2950.0,0.0,0.0,177.0,1.0,1,USMC,541330.0,Z2BG,FIRM FIXED PRICE,NOT COMPETED,VA
2012,9804.5,0.0,0.0,27.0,1.0,1,USMC,811212.0,Z1BG,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,CA
2013,125000.0,-1.0,1461.0,364.0,1.0,6,USMC,561622.0,Z1AA,FIRM FIXED PRICE,COMPETED UNDER SAP,DC
2014,57987.0,-0.9993791711935434,1461.0,367.0,1.0,2,USMC,334511.0,Z2BG,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2015,13200.0,0.0,1461.0,369.0,2.0,1,USMC,518210.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2015,140000.0,-1.9985714285714287,365.0,365.0,1.0,2,USMC,561622.0,Z1AA,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,DC
2015,6799.0,0.0,0.0,33.0,1.0,1,USMC,811213.0,Z1BG,FIRM FIXED PRICE,NOT COMPETED,VA
